corridor,bhk,carpet_area,bathrooms,floor,gym,parking,security,lift,clubhouse,swimming_pool,garden,price_lakhs
dehu_solapur,4,416,5,28,1,0,1,0,1,0,1,96.05
dehu_solapur,4,1392,5,29,0,1,0,0,1,0,1,169.2
kolhapur_nashik,1,2158,2,26,0,1,1,1,1,1,0,240.97
dehu_solapur,4,645,5,7,0,1,0,1,0,1,0,103.46
kolhapur_nashik,1,1929,1,25,1,0,1,0,1,1,1,213.13
dehu_solapur,3,1515,4,2,1,0,0,1,0,0,1,162.18
dehu_solapur,2,1548,3,26,1,1,0,1,1,1,0,161.67
dehu_solapur,4,1995,5,12,0,0,1,1,0,1,1,213.53
kolhapur_nashik,3,668,4,28,1,1,0,0,1,0,0,112.58
dehu_solapur,2,516,3,23,0,0,1,0,0,1,1,77.11
dehu_solapur,3,1519,4,22,1,0,1,0,0,0,1,178.29
dehu_solapur,2,553,3,19,0,1,0,0,1,1,0,80.57
dehu_solapur,1,2173,2,20,0,1,1,1,1,1,0,197.87
kolhapur_nashik,1,2470,2,10,1,0,1,1,1,0,1,258.34
kolhapur_nashik,3,2031,3,24,0,0,1,1,1,1,0,246.99
kolhapur_nashik,2,1968,2,29,0,0,0,1,0,0,0,219.59
kolhapur_nashik,2,1466,3,29,0,1,0,1,1,0,0,171.08
kolhapur_nashik,4,2025,5,2,0,0,0,1,1,0,1,249.5
dehu_solapur,3,812,4,4,0,0,0,0,1,1,0,106.9
dehu_solapur,3,1971,4,17,0,1,1,0,1,1,0,207.83
kolhapur_nashik,1,1948,1,25,0,0,1,0,0,1,1,205.35
dehu_solapur,3,2035,4,29,0,0,1,0,0,1,1,215.75
dehu_solapur,4,1250,5,15,1,0,0,0,1,0,1,159.79
dehu_solapur,4,1462,4,21,1,1,0,1,0,1,0,177.22
dehu_solapur,3,1132,3,11,1,0,1,0,1,1,1,136.64
kolhapur_nashik,1,1591,2,9,1,0,1,1,0,0,0,172.2
kolhapur_nashik,3,1919,3,1,1,1,0,0,0,0,0,213.82
dehu_solapur,3,1605,3,27,1,1,0,0,1,0,0,180.8
dehu_solapur,2,1643,3,26,1,1,1,0,0,0,0,171.34
kolhapur_nashik,1,1614,2,17,0,1,0,1,0,1,1,187.32
kolhapur_nashik,1,2252,1,21,1,1,0,0,1,0,1,239.8
kolhapur_nashik,3,1656,3,14,0,0,0,0,1,1,0,197.7
kolhapur_nashik,3,1435,4,16,1,1,1,1,1,0,1,193.9
kolhapur_nashik,2,939,3,5,0,1,1,0,1,0,0,116.83
dehu_solapur,1,2436,2,13,1,1,0,0,1,0,0,217.67
dehu_solapur,3,2344,4,10,1,1,1,0,0,0,0,233.26
kolhapur_nashik,1,773,1,18,1,0,0,0,0,1,0,100.34
dehu_solapur,1,2033,1,3,0,0,0,1,0,1,1,179.16
dehu_solapur,1,2068,2,3,0,0,0,0,0,1,1,176.59
dehu_solapur,2,2448,2,13,0,1,1,0,0,1,1,226.55
kolhapur_nashik,4,1974,5,26,1,1,1,0,0,1,1,250.44
dehu_solapur,3,1652,3,14,1,0,0,0,1,1,1,189.06
kolhapur_nashik,2,1729,3,18,1,0,0,0,0,1,1,189.06
dehu_solapur,4,941,4,10,0,0,0,0,1,1,1,135.59
dehu_solapur,2,2275,3,5,1,1,0,1,0,1,0,206.4
dehu_solapur,1,2394,2,16,1,1,1,1,1,0,0,225.39
kolhapur_nashik,3,1066,3,18,0,1,0,0,0,0,1,140.45
dehu_solapur,2,923,3,14,1,0,1,1,0,0,0,104.74
kolhapur_nashik,1,2494,1,22,0,1,1,0,0,1,0,258.07
kolhapur_nashik,3,702,3,24,1,1,1,1,0,1,1,120.74
kolhapur_nashik,1,925,1,24,0,0,0,0,0,1,0,102.89
kolhapur_nashik,2,2306,2,25,0,0,1,1,0,0,0,249.92
dehu_solapur,2,525,3,25,0,0,1,0,1,1,0,77.51
kolhapur_nashik,3,1893,4,15,1,1,0,1,0,1,0,238.5
dehu_solapur,2,1705,3,2,0,1,0,0,1,0,0,162.19
kolhapur_nashik,2,1926,3,4,1,0,1,1,1,0,1,217.05
dehu_solapur,1,1158,1,19,0,1,0,1,1,0,1,120.29
kolhapur_nashik,3,1045,4,17,1,1,1,0,1,0,1,152.76
dehu_solapur,3,1815,4,19,0,1,0,1,1,1,1,196.8
dehu_solapur,4,958,4,26,1,1,1,0,1,0,0,120.74
kolhapur_nashik,1,2426,1,1,1,1,1,1,0,0,1,246.4
dehu_solapur,1,2394,1,24,1,0,0,1,0,0,0,217.52
kolhapur_nashik,4,635,5,14,0,1,0,0,1,1,0,120.61
kolhapur_nashik,4,2255,4,8,0,0,0,1,1,1,0,264.07
dehu_solapur,1,2452,1,27,1,1,1,1,0,0,1,232.77
dehu_solapur,4,2288,4,15,0,0,0,0,0,0,1,228.0
kolhapur_nashik,1,2370,2,6,0,0,0,1,1,1,1,247.96
kolhapur_nashik,2,1654,2,4,0,1,0,0,0,0,0,185.66
dehu_solapur,1,1677,2,22,1,1,0,0,1,0,1,169.19
dehu_solapur,1,2494,2,12,0,1,0,0,0,0,1,217.9
kolhapur_nashik,2,2234,2,5,1,0,1,1,1,1,1,243.05
kolhapur_nashik,3,1384,3,15,1,1,0,1,1,1,1,172.63
kolhapur_nashik,1,2263,1,10,0,1,0,1,0,1,0,232.69
kolhapur_nashik,3,1830,3,14,0,0,1,1,1,1,0,219.69
dehu_solapur,1,2254,2,23,0,1,0,0,0,0,0,207.07
dehu_solapur,2,1336,2,20,0,1,0,1,1,0,1,139.97
dehu_solapur,2,1338,2,12,0,0,1,1,0,0,1,142.16
dehu_solapur,1,462,1,22,1,1,1,0,0,0,0,60.27
kolhapur_nashik,1,1088,2,22,1,1,0,0,1,0,0,126.72
dehu_solapur,3,1351,3,30,1,1,0,0,0,0,1,155.33
kolhapur_nashik,4,2465,4,14,0,0,1,1,1,1,0,295.34
dehu_solapur,4,2320,5,29,0,0,0,1,1,1,0,233.43
kolhapur_nashik,2,454,3,18,0,0,1,0,0,0,0,79.76
dehu_solapur,4,1687,5,3,1,1,1,1,1,1,0,187.21
kolhapur_nashik,4,1923,4,22,0,1,0,0,1,1,0,245.95
dehu_solapur,3,1314,4,29,1,1,1,0,0,0,1,159.67
dehu_solapur,2,1809,2,23,0,1,1,0,0,1,1,171.21
kolhapur_nashik,3,1923,4,22,1,1,0,1,1,1,0,244.16
kolhapur_nashik,3,527,4,17,1,0,0,1,0,1,1,95.91
kolhapur_nashik,2,2451,3,26,0,0,1,0,0,0,1,269.23
kolhapur_nashik,4,2489,5,9,1,1,0,0,0,1,1,289.09
kolhapur_nashik,1,2474,1,6,0,1,1,1,0,0,0,251.37
dehu_solapur,2,2108,2,26,0,1,1,1,1,1,1,214.03
dehu_solapur,1,1794,2,29,0,0,1,0,1,1,0,168.09
dehu_solapur,3,1650,4,2,0,0,1,1,1,0,1,177.64
dehu_solapur,1,764,1,2,0,1,1,0,0,0,1,71.62
dehu_solapur,1,1640,1,11,1,1,0,0,0,0,1,155.16
kolhapur_nashik,2,2036,3,27,0,0,0,0,1,0,0,229.66
dehu_solapur,3,411,4,16,1,0,1,0,0,0,0,78.87
kolhapur_nashik,1,1512,2,15,0,1,0,0,1,0,1,173.54
kolhapur_nashik,4,1110,4,23,1,0,1,1,0,1,0,162.15
kolhapur_nashik,4,1921,4,23,0,1,0,1,1,0,0,244.56
kolhapur_nashik,3,1014,3,14,0,1,0,1,1,0,1,144.52
kolhapur_nashik,3,763,3,15,1,0,1,0,1,0,0,123.56
kolhapur_nashik,1,415,1,10,1,1,1,0,0,1,1,71.07
dehu_solapur,3,1213,4,29,1,0,0,1,0,1,0,145.48
kolhapur_nashik,4,2171,4,25,1,1,0,0,0,1,0,253.68
kolhapur_nashik,4,545,5,5,0,1,0,0,1,0,0,104.42
dehu_solapur,1,1363,2,27,1,0,0,0,0,1,1,140.8
kolhapur_nashik,1,1171,1,8,1,0,0,1,0,0,0,128.78
kolhapur_nashik,2,625,2,26,0,0,1,0,1,1,0,105.2
kolhapur_nashik,1,402,2,3,1,0,1,0,0,0,0,54.72
kolhapur_nashik,2,1780,3,11,0,1,0,0,1,0,0,198.26
dehu_solapur,1,1818,1,2,1,1,0,1,1,0,0,165.1
kolhapur_nashik,2,1313,3,5,1,1,0,1,0,0,0,160.98
dehu_solapur,4,2289,5,27,0,0,0,1,1,0,1,240.9
kolhapur_nashik,4,2104,4,11,0,0,0,1,1,0,0,245.87
dehu_solapur,1,1225,1,19,0,0,1,1,1,0,0,123.6
kolhapur_nashik,3,988,3,12,0,1,1,0,1,0,0,133.21
kolhapur_nashik,4,847,5,13,0,1,1,0,1,0,1,142.98
dehu_solapur,4,1393,4,28,1,0,1,0,0,1,1,172.43
kolhapur_nashik,3,1440,4,22,0,1,1,0,1,1,1,188.12
dehu_solapur,2,1103,2,29,1,1,0,0,1,0,1,126.28
dehu_solapur,3,969,3,26,1,1,1,0,1,0,0,115.14
dehu_solapur,1,438,1,23,0,0,0,1,1,1,0,65.05
dehu_solapur,3,1388,3,15,1,0,0,1,1,0,0,159.59
dehu_solapur,3,1930,3,26,1,1,0,1,0,0,1,204.21
kolhapur_nashik,3,2007,4,14,0,0,0,0,1,0,0,232.6
kolhapur_nashik,2,2435,2,3,0,1,1,0,1,1,1,268.68
dehu_solapur,2,1659,3,4,0,1,1,0,1,0,1,168.38
kolhapur_nashik,1,516,2,24,1,0,1,0,0,1,0,77.31
kolhapur_nashik,3,1006,4,11,0,0,0,1,1,0,1,138.33
dehu_solapur,2,1511,2,17,1,0,1,1,0,1,1,166.0
kolhapur_nashik,4,2351,5,28,0,1,0,0,0,0,1,284.39
dehu_solapur,1,1317,1,2,1,0,1,1,1,1,0,125.99
dehu_solapur,4,2394,4,3,0,1,0,1,0,0,0,235.2
kolhapur_nashik,1,1115,2,8,1,1,1,1,1,0,0,144.09
kolhapur_nashik,4,421,5,3,0,0,1,1,1,0,1,98.54
kolhapur_nashik,4,1960,4,19,1,0,0,1,1,0,1,243.44
kolhapur_nashik,3,2389,4,19,1,0,1,1,0,0,0,276.98
kolhapur_nashik,2,1154,2,29,0,1,0,0,0,0,1,150.58
dehu_solapur,4,1787,5,20,1,1,1,0,0,1,0,199.59
kolhapur_nashik,2,1935,3,2,0,1,1,1,0,1,0,219.51
kolhapur_nashik,3,929,4,21,0,0,0,1,1,1,1,141.91
kolhapur_nashik,3,1339,4,14,1,0,0,0,1,0,0,173.29
dehu_solapur,2,903,2,25,1,1,0,1,0,0,0,105.39
dehu_solapur,4,1652,4,1,1,1,1,1,0,0,0,184.63
kolhapur_nashik,2,2393,2,10,1,1,0,0,0,1,1,256.61
dehu_solapur,4,975,5,20,1,0,0,0,0,0,1,137.07
kolhapur_nashik,4,1790,4,6,1,0,0,1,1,1,1,226.68
dehu_solapur,3,1716,4,26,0,0,0,0,1,0,0,188.16
kolhapur_nashik,1,1639,1,11,1,1,0,1,0,0,0,178.57
dehu_solapur,4,1318,5,6,1,0,1,1,0,1,1,162.06
kolhapur_nashik,2,1764,2,23,1,0,1,1,0,0,1,205.33
dehu_solapur,2,1542,3,11,1,1,1,1,0,1,1,165.53
dehu_solapur,4,744,5,4,0,0,0,0,1,1,0,110.26
kolhapur_nashik,1,1409,2,6,0,0,0,0,0,1,0,150.08
dehu_solapur,3,1747,4,29,1,1,1,1,0,1,1,202.64
kolhapur_nashik,1,1400,1,19,0,0,0,1,1,1,0,149.09
dehu_solapur,3,1896,3,17,1,0,0,1,1,1,0,188.56
dehu_solapur,4,1361,5,9,0,0,1,1,1,1,1,157.93
kolhapur_nashik,3,442,4,23,1,1,1,1,0,0,0,97.75
dehu_solapur,3,1414,4,15,0,1,0,0,1,0,0,150.85
dehu_solapur,4,772,5,14,0,0,0,1,0,1,1,114.06
kolhapur_nashik,4,2081,5,17,0,1,1,0,1,0,0,249.4
dehu_solapur,3,844,4,24,1,1,1,1,0,1,0,121.98
kolhapur_nashik,4,2108,5,15,0,0,0,1,1,0,1,262.66
dehu_solapur,2,1383,3,25,0,1,1,1,1,0,1,154.75
dehu_solapur,1,2003,2,24,0,1,1,0,1,0,1,186.6
dehu_solapur,2,980,2,17,0,1,1,0,0,0,0,110.66
kolhapur_nashik,4,1387,4,11,1,0,1,0,0,0,1,183.85
dehu_solapur,1,1977,2,29,0,0,0,0,0,1,1,180.41
kolhapur_nashik,3,2003,4,6,1,1,0,0,1,1,1,243.17
dehu_solapur,4,1776,4,6,0,0,1,0,0,1,1,199.96
kolhapur_nashik,1,559,1,8,1,1,1,0,1,1,0,73.28
kolhapur_nashik,3,1595,4,6,0,0,1,0,1,1,1,196.16
kolhapur_nashik,4,1865,5,5,0,0,0,0,0,0,1,216.7
dehu_solapur,4,1056,5,12,1,1,0,1,1,0,0,130.97
kolhapur_nashik,3,1029,3,20,1,1,1,0,0,1,0,146.39
kolhapur_nashik,3,1199,3,21,1,1,1,1,1,0,1,167.32
kolhapur_nashik,1,2086,2,13,1,0,0,1,0,0,0,222.5
kolhapur_nashik,3,2089,4,18,0,1,0,1,0,0,1,244.02
kolhapur_nashik,1,643,2,12,0,0,1,1,1,0,0,87.59
kolhapur_nashik,2,1347,3,9,0,0,0,1,0,1,0,168.09
kolhapur_nashik,2,2211,3,10,0,1,0,0,1,0,1,235.67
kolhapur_nashik,2,637,2,20,0,0,0,1,0,0,0,92.89
kolhapur_nashik,4,1363,4,15,1,0,1,1,1,1,1,197.11
kolhapur_nashik,2,2251,2,6,1,0,0,1,1,1,0,244.37
dehu_solapur,3,1940,3,2,1,0,1,1,0,1,0,188.32
dehu_solapur,3,1522,3,9,1,1,1,0,0,1,1,171.37
kolhapur_nashik,1,2195,1,8,0,0,0,1,1,0,1,229.58
kolhapur_nashik,3,1908,4,30,1,0,0,0,0,1,1,233.44
kolhapur_nashik,3,2164,3,22,0,1,0,1,1,0,0,247.07
dehu_solapur,1,2409,2,13,0,0,1,0,0,1,1,218.08
dehu_solapur,3,896,4,11,0,0,1,1,0,0,1,118.14
dehu_solapur,1,1859,1,6,1,0,1,0,0,0,1,161.83
dehu_solapur,4,792,4,1,1,1,1,0,0,1,1,126.95
kolhapur_nashik,4,478,4,28,0,1,0,0,0,1,1,105.23
dehu_solapur,3,1431,3,8,0,0,0,0,0,0,1,137.21
dehu_solapur,2,2074,3,15,0,0,0,1,0,0,1,198.35
dehu_solapur,1,2437,2,8,1,1,1,0,1,1,1,225.23
kolhapur_nashik,1,1362,1,4,1,1,1,0,0,0,1,150.91
dehu_solapur,2,769,3,21,1,1,0,1,1,1,0,109.96
kolhapur_nashik,4,1649,4,10,0,0,1,1,0,0,0,209.45
kolhapur_nashik,3,1245,4,26,0,1,1,1,1,1,0,174.46
dehu_solapur,4,1967,5,23,0,0,1,0,0,1,0,221.47
dehu_solapur,2,2327,3,8,1,0,0,1,1,0,1,222.19
kolhapur_nashik,4,1169,4,21,0,1,0,1,0,0,0,166.69
dehu_solapur,4,1467,4,22,0,0,0,0,1,0,0,167.27
dehu_solapur,4,1534,5,10,1,1,1,0,1,0,0,173.44
dehu_solapur,4,1906,5,10,1,0,0,1,0,1,1,201.5
dehu_solapur,4,1436,4,20,1,1,1,1,1,1,1,180.6
dehu_solapur,2,1437,2,2,0,0,1,0,1,0,0,144.17
dehu_solapur,2,1804,3,20,1,1,1,0,1,0,1,182.96
dehu_solapur,2,2423,2,21,1,1,1,1,1,0,0,233.55
kolhapur_nashik,1,925,1,24,0,1,1,0,1,1,1,115.08
kolhapur_nashik,4,561,5,18,0,0,1,1,0,0,0,117.45
kolhapur_nashik,1,1267,2,19,1,0,1,1,0,0,0,142.3
dehu_solapur,2,1230,3,17,0,1,0,0,0,0,1,126.1
kolhapur_nashik,4,1059,5,15,0,0,1,0,1,1,0,156.83
dehu_solapur,1,1001,2,5,0,1,0,1,1,0,0,104.67
kolhapur_nashik,1,2300,1,21,0,1,0,1,1,0,0,247.35
dehu_solapur,4,2356,5,17,0,1,1,0,1,1,1,249.11
kolhapur_nashik,3,1040,4,25,1,1,0,1,1,1,1,156.46
kolhapur_nashik,1,2019,2,25,1,0,1,1,1,1,1,229.85
kolhapur_nashik,4,2414,5,25,0,1,1,0,0,1,1,287.05
dehu_solapur,4,1274,4,21,1,1,0,0,0,1,0,159.65
dehu_solapur,4,1895,4,16,0,0,1,1,1,1,1,204.44
kolhapur_nashik,1,564,2,21,1,0,0,0,1,0,1,75.21
dehu_solapur,4,2331,4,29,0,0,1,0,1,0,1,237.31
dehu_solapur,3,997,3,1,0,1,0,0,1,1,1,127.25
dehu_solapur,1,2033,2,14,1,1,0,1,0,0,1,189.89
kolhapur_nashik,4,1480,5,10,1,1,1,0,0,0,1,204.13
kolhapur_nashik,4,970,5,3,1,0,0,0,1,1,0,143.75
dehu_solapur,4,1577,4,4,1,1,1,0,1,1,0,174.99
kolhapur_nashik,3,1280,3,2,0,1,1,0,1,1,0,166.75
kolhapur_nashik,4,1173,4,20,0,0,0,1,0,0,0,154.54
kolhapur_nashik,1,884,1,8,0,0,0,0,1,1,1,105.22
kolhapur_nashik,2,867,3,12,1,0,1,0,0,0,0,113.28
kolhapur_nashik,4,1012,5,28,1,0,0,1,1,1,1,163.42
kolhapur_nashik,3,1947,3,14,0,1,0,0,0,0,0,227.07
kolhapur_nashik,4,1525,5,27,0,1,0,0,0,0,0,207.95
kolhapur_nashik,1,2339,2,26,1,1,0,0,0,1,0,249.0
kolhapur_nashik,3,1818,4,15,1,1,0,0,1,1,1,222.43
dehu_solapur,4,875,5,26,1,0,1,1,1,1,0,129.47
dehu_solapur,3,1342,4,26,0,0,0,1,1,1,0,152.61
dehu_solapur,4,2074,5,15,0,0,0,1,0,1,1,225.89
kolhapur_nashik,3,2358,4,9,1,1,0,1,0,0,1,262.73
dehu_solapur,3,841,3,15,1,0,0,0,0,0,0,111.57
kolhapur_nashik,4,950,4,3,1,0,0,1,0,0,1,140.48
dehu_solapur,3,1866,3,2,1,1,1,1,1,0,1,193.69
dehu_solapur,2,1930,3,17,0,1,1,1,1,1,0,188.93
kolhapur_nashik,4,482,5,19,0,1,0,0,1,1,0,112.27
kolhapur_nashik,3,797,4,6,0,0,1,1,0,1,0,118.19
kolhapur_nashik,1,2077,1,21,0,0,0,1,1,0,1,216.67
kolhapur_nashik,1,2055,1,23,1,0,1,0,1,1,1,226.84
dehu_solapur,3,893,4,21,0,0,0,1,1,0,0,123.35
dehu_solapur,1,2328,2,3,0,1,1,1,0,1,0,208.72
dehu_solapur,3,1847,4,22,1,1,0,0,0,0,1,192.12
dehu_solapur,3,1973,4,25,0,0,1,0,0,1,1,203.06
kolhapur_nashik,2,978,3,12,1,1,1,0,0,0,0,124.92
kolhapur_nashik,1,2336,1,12,1,1,0,1,0,1,1,237.18
dehu_solapur,1,2044,1,3,1,1,0,1,0,1,1,191.73
dehu_solapur,2,1280,3,8,0,1,1,0,1,0,0,146.12
dehu_solapur,1,1103,2,10,0,1,1,0,0,1,0,114.99
dehu_solapur,3,582,3,7,0,1,0,1,0,0,0,80.78
dehu_solapur,2,400,3,12,0,1,1,1,0,0,0,57.19
dehu_solapur,2,1387,3,5,1,0,0,1,0,1,0,146.44
dehu_solapur,3,2110,4,18,1,1,1,1,0,0,1,214.26
kolhapur_nashik,4,1507,4,1,1,1,0,0,0,0,1,192.08
dehu_solapur,1,504,2,2,0,0,0,1,1,1,0,61.45
kolhapur_nashik,3,1028,4,29,1,0,1,1,1,1,0,159.55
dehu_solapur,2,667,2,11,0,0,0,0,1,0,0,76.31
dehu_solapur,3,1831,3,6,1,0,1,0,1,1,0,191.37
dehu_solapur,3,2421,4,30,1,1,1,1,0,0,1,254.66
dehu_solapur,4,2441,4,25,1,1,1,0,1,0,1,257.57
kolhapur_nashik,4,406,5,5,1,0,0,0,1,0,0,81.38
dehu_solapur,3,1902,3,30,0,0,0,1,1,0,1,200.33
kolhapur_nashik,4,1863,5,6,0,0,1,0,0,1,0,221.94
kolhapur_nashik,3,2437,3,27,1,0,1,1,0,0,0,277.13
dehu_solapur,2,1972,3,28,0,0,0,1,1,1,1,193.85
dehu_solapur,3,1923,3,13,1,1,1,1,0,0,0,198.21
dehu_solapur,1,764,2,21,0,0,0,0,1,1,1,82.62
dehu_solapur,2,782,3,21,1,0,0,1,0,0,1,101.14
dehu_solapur,4,1308,4,2,0,1,0,0,0,0,1,145.0
kolhapur_nashik,2,564,2,21,1,1,0,0,0,1,1,87.63
dehu_solapur,3,1540,4,11,1,0,0,1,1,0,1,166.69
dehu_solapur,4,1443,4,14,1,1,1,0,0,0,1,171.04
kolhapur_nashik,4,2171,5,6,0,0,1,1,1,0,0,249.65
dehu_solapur,3,1103,3,19,1,0,0,0,1,0,1,141.12
kolhapur_nashik,3,2110,3,15,1,0,0,0,1,0,0,232.62
kolhapur_nashik,3,1746,3,5,0,0,1,0,0,0,1,207.42
kolhapur_nashik,4,421,4,22,0,0,1,1,1,1,1,112.12
dehu_solapur,4,1095,5,25,1,0,0,0,1,1,1,149.55
dehu_solapur,4,941,4,3,0,1,0,0,0,0,0,121.01
dehu_solapur,4,946,5,8,0,0,1,1,1,1,1,135.01
kolhapur_nashik,3,1781,3,3,1,0,1,1,0,0,1,201.42
kolhapur_nashik,1,561,2,28,1,1,1,1,1,1,0,93.39
kolhapur_nashik,3,2350,4,2,0,0,1,0,1,1,1,270.94
dehu_solapur,1,2093,1,13,0,0,0,0,0,0,1,185.24
dehu_solapur,1,582,1,30,1,1,1,1,1,1,1,77.53
kolhapur_nashik,2,1411,2,24,0,1,1,0,1,0,0,173.63
dehu_solapur,4,1889,5,23,0,1,1,1,1,1,0,209.39
kolhapur_nashik,2,1511,3,8,0,1,0,1,0,1,0,175.77
kolhapur_nashik,3,1032,3,11,0,0,0,1,1,1,1,135.34
kolhapur_nashik,4,870,5,29,0,1,0,0,1,0,1,141.02
dehu_solapur,3,634,3,5,0,1,1,0,0,1,0,100.93
dehu_solapur,2,1312,2,22,1,0,1,1,0,0,0,137.01
kolhapur_nashik,2,2397,2,12,0,1,0,0,0,1,0,255.05
kolhapur_nashik,1,728,2,11,1,1,1,0,1,0,0,97.57
dehu_solapur,1,561,1,24,1,0,1,1,0,1,1,68.63
kolhapur_nashik,2,1861,2,4,0,1,0,0,0,0,0,206.68
kolhapur_nashik,2,2073,2,12,0,0,1,1,0,0,1,225.34
dehu_solapur,3,2464,4,22,1,1,0,0,0,1,1,240.75
kolhapur_nashik,2,518,3,16,0,0,1,1,1,1,0,86.16
dehu_solapur,2,2097,2,6,0,1,1,0,0,0,0,195.24
kolhapur_nashik,3,2459,4,16,0,0,1,0,0,1,0,276.9
kolhapur_nashik,1,1879,1,22,0,1,1,0,0,0,0,207.43
kolhapur_nashik,2,1502,3,23,1,1,1,1,1,0,0,188.48
kolhapur_nashik,2,632,2,27,1,1,0,1,0,1,0,102.22
kolhapur_nashik,3,860,3,8,1,1,0,0,1,0,0,131.22
dehu_solapur,3,558,3,14,1,1,0,1,0,1,1,86.85
dehu_solapur,3,1989,3,18,1,0,1,0,1,0,1,201.87
kolhapur_nashik,2,2332,2,30,0,1,1,0,1,1,0,260.52
dehu_solapur,4,2497,4,28,1,1,0,1,1,0,1,260.9
dehu_solapur,1,2024,2,19,0,0,1,1,1,1,1,193.78
kolhapur_nashik,4,1282,4,27,0,1,0,0,0,0,1,178.58
kolhapur_nashik,4,894,5,1,0,0,0,0,1,1,1,133.3
kolhapur_nashik,1,485,2,9,0,1,1,0,1,1,1,79.04
kolhapur_nashik,2,2187,3,2,0,1,1,0,1,0,0,229.47
dehu_solapur,1,2076,1,10,1,0,1,1,0,0,1,185.83
kolhapur_nashik,4,1028,5,3,0,0,0,0,1,1,0,156.27
kolhapur_nashik,1,515,1,20,0,0,1,1,0,1,0,74.48
dehu_solapur,1,504,1,26,0,0,1,1,1,0,0,60.85
dehu_solapur,4,1108,5,11,1,0,0,0,1,1,0,136.95
dehu_solapur,3,951,3,21,1,1,0,1,1,0,1,118.23
kolhapur_nashik,1,620,2,9,1,0,1,0,1,1,1,88.38
dehu_solapur,3,439,3,29,1,1,0,1,1,1,1,92.37
dehu_solapur,2,678,2,5,0,1,0,1,0,0,0,84.19
dehu_solapur,1,2073,2,7,0,1,0,0,1,0,1,174.65
dehu_solapur,2,2238,3,28,1,1,0,0,1,0,0,215.68
kolhapur_nashik,2,1268,2,16,0,0,1,0,1,1,0,159.47
dehu_solapur,2,1445,2,22,0,1,0,1,0,0,0,147.87
dehu_solapur,3,409,4,25,0,1,1,1,0,0,0,70.97
dehu_solapur,1,2256,1,25,0,1,0,0,0,1,1,210.89
dehu_solapur,2,1406,2,26,0,0,1,0,0,1,0,150.26
dehu_solapur,1,1564,2,6,1,1,0,0,0,0,0,146.21
dehu_solapur,4,464,4,3,1,0,1,1,1,1,1,101.39
kolhapur_nashik,1,1250,1,20,0,1,1,1,0,1,1,140.19
dehu_solapur,1,1301,1,1,0,1,0,0,0,0,0,115.09
kolhapur_nashik,2,1399,2,16,1,1,0,0,1,1,0,169.66
dehu_solapur,4,1937,5,22,0,0,0,1,0,1,1,212.21
dehu_solapur,3,994,3,18,1,1,1,1,0,0,1,122.41
dehu_solapur,4,1824,5,1,0,0,1,1,0,1,1,192.71
dehu_solapur,1,1741,2,16,0,0,1,0,0,1,1,166.29
dehu_solapur,4,614,5,23,0,1,1,0,1,1,0,107.25
kolhapur_nashik,2,760,2,8,1,1,0,1,0,1,1,112.0
dehu_solapur,1,1891,1,17,0,0,1,0,0,0,1,171.57
